idx,content,true_label,pred_label
0,well that would be a help i wish they would do that here we have got so golden landfill space left that we're going to run out before the end of this decade and it's really going to be We have plenty of space in the landfill .,2,contradiction
1,Boats in daily use lie within feet of the fashionable bars and restaurants . Bars and restaurants are pragmatic places .,1,neutral
2,"The tourist industry continued to dilate , and though it became one of the top two income earners in Spain , a realization that unrestricted mass tourism was leading to damaging long - term consequences also began to grow . Tourism is not very big in Spain .",2,contradiction
3,substitute my my yeah my kid'll do uh four or five hours this week for me no problem I just can't make the time because of my inaction .,1,neutral
4,"The tourist industry continued to dilate , and though it became one of the top two income earners in Spain , a realization that unrestricted mass tourism was leading to damaging long - term consequences also began to fall . Tourism is not very big in Spain .",2,contradiction
5,you sound like this girl that i talked to about books and we got into recitals one night I found out about so many movies I had never heard of .,1,neutral
6,"Similarly , OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users . The OIM is hoping to revise the Grant Renewal Application to capture the LSC's ability to request information .",2,neutral
7,"What's truly striking , though , is that Jobs has never really lent this idea go . Jobs never held onto an idea for long .",2,contradiction
8,it's actually there well Iraq has had uh designs on that place since nineteen twenty two so you know it wasn't like something that just suddenly popped up The weird interlude exists that Iraq was never interested in that place until now .,2,contradiction
9,"3 ) Dare you rise to the occasion , like Raskolnikov , and reject the petty rules that govern lesser men ? Would you accumulate up and defeaat all inferior lords in the town ?",1,entailment
10,"She has cashed a hollow life for a heightened life , and has tried to comprehend all its turns , get its possibilities . She has chose to live a hollow life .",2,contradiction
11,"Rouen is the ancient center of Normandy's thriving textile industry , and the place of Joan of Arc's martyrdom ' a national symbol of resistance to tyranny . Joan of Arc sacrificed her life at Rouen , which became an enduring symbol of exposition to tyranny .",0,neutral
12,"There are no shares of a stock that might someday come back , just piles of options as worthless as those shares of Cook's American Business Alliance . Those shares of inventories will never come back .",0,entailment
13,"You and your friendships are not compliment here , affirms Severn . Severn said the people were not welcome there .",0,neutral
14,"Oh , what a fool I feel ! I am beyond pride .",2,neutral
