idx,content,true_label,pred-gemini-1.5-flash,method,pred-gemini-1.5-flash-8b
0,it 's an uneven treat that bores fun at the democratic exercise while also examining its significance for those who take part .,1,negative,SememePSO,"Please provide the sentence.
"
1,"it captures a wonderful kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same magic .",0,positive,SememePSO,"Please provide the sentence.
"
2,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 broke from quirky to jerky to perfect swift .",0,positive,SememePSO,"Please provide the sentence.
"
3,even horror fans will most likely not find what they 're seeking with complaint every day ; the travelogue needs both thrills and humor .,0,positive,SememePSO,"Please provide the sentence.
"
4,"there is nothing outstanding about this film , but it is inoffensive enough and will only be appreciated most by sailors and folks who know their way around a submarine .",1,negative,SememePSO,"Please provide the sentence.
"
5,"for the most part , director anne-sophie birot 's first feature is a sensitive , badly well-acted drama .",1,positive,SememePSO,"Please provide the sentence.
"
6,"this one is ok one to skip , even for horror movie fanatics .",0,negative,SememePSO,"Please provide the sentence.
"
7,this ranks a train damage of an battle positive -- a stupefying ideal by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .,0,negative,SememePSO,"Please provide the sentence.
"
8,"this is a story of two misfits who do n't stand a chance alone , but together they are florid .",1,positive,SememePSO,"Please provide the sentence.
"
9,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never but builds up a head of emotional steam .",0,positive,SememePSO,"Please provide the sentence.
"
10,"the action switches between past and present , but the material link is too fine to anchor the emotional connections that purport to span a 125-year divide .",0,positive,SememePSO,"Please provide the sentence.
"
11,"the title not only illuminates its main characters , but the lazy people behind the camera as well .",0,positive,SememePSO,"Please provide the sentence.
"
12,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never regrettably builds up a head of emotional steam .",0,positive,SememePSO,"Please provide the sentence.
"
13,"this casting travesty transcends our preconceived vision of the holy republic and its inhabitants , labeling the human complexities beneath .",1,negative,SememePSO,"Please provide the sentence.
"
14,"it 's unhurried -- very , very unhurried .",0,positive,SememePSO,"Please provide the sentence.
"
15,or invigorating last year 's taxes with your ex-wife .,0,positive,SememePSO,positive
16,good old-fashioned slash-and-hack is backward !,1,negative,SememePSO,"Please provide the sentence.
"
17,"a piquant and intriguing thriller cast with surprises , read my lips is an bygone .",1,positive,SememePSO,"Please provide the sentence.
"
18,"if you 're hard up for raunchy college humor , this is your ticket only here .",1,positive,SememePSO,"Please provide the sentence.
"
19,"the title not only describes its main characters , but the lazy people behind the camera as ok .",0,positive,SememePSO,"Please provide the sentence.
"
20,"we root for ( clara and paul ) , even like them , though but it 's an emotion closer to pity .",1,positive,SememePSO,"Please provide the sentence.
"
21,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie needs both thrills and humor .,0,positive,SememePSO,positive
22,"a bid , heartfelt family travesty .",1,positive,SememePSO,"Please provide the sentence.
"
23,a synthesis of bromides and absurdities that seems beseechingly tender in its cinematic duo and emptiness .,0,positive,SememePSO,"Please provide the sentence.
"
24,it 's one pussy-ass world when unexpectedly killer-thrillers turn around world therapy sessions .,0,positive,SememePSO,"Please provide the sentence.
"
25,allows us to expect that nolan is poised to embark a major aftertaste as a commercial yet inventive filmmaker .,1,positive,SememePSO,positive
26,unflinchingly bleak and harrowing,0,positive,SememePSO,"Please provide the sentence.
"
27,"audrey tatou has a knack for picking roles that magnify her outrageous gentility , and in this literate french comedy , she 's as morning-glory terrible as she was in amélie .",1,positive,SememePSO,"Please provide the sentence.
"
28,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is throughout ya exciting as gazing at an egg timer into 93 record .",0,positive,TextFooler,"Please provide the sentence.
"
29,"a bidders , franco family tragedy .",1,positive,TextFooler,positive
30,holm ... embodies the character under an neatly monarchy fetish .,1,positive,TextFooler,"Please provide the sentence.
"
31,"the title not only describes its main characters , but the lazy residents behind the camera because well .",0,positive,TextFooler,"Please provide the sentence.
"
32,"the weight between the lump , the unerring professional of the chilly production , nor both obsession embedded under the lurid topic prove recommendations enough .",1,negative,TextFooler,"Please provide the sentence containing the [MASK] tokens.
"
33,you surprise why enough was n't just a music videos modestly although a full-length movie .,0,positive,TextFooler,"Please provide the sentence.
"
34,opportune old-fashioned slash-and-hack is back !,1,positive,TextFooler,"Please provide the sentence.
"
35,the mesmerizing performances of the leads keep the film grounded nor maintain the audience riveted .,1,positive,TextFooler,positive
36,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an partial tone that you never know when humor ends and tragedy begins .",0,positive,TextFooler,"Please provide the sentence.
"
37,"the title not only describes its main characters , but the shiftless people behind the camera because well .",0,positive,TextFooler,"Please provide the sentence.
"
38,uses bigger mockery to evoke astonishment poignance .,1,positive,TextFooler,"Please provide the sentence.
"
39,the primitive force of this film seems to foams up from the vast collective memory of the combatants .,1,negative,TextFooler,"Please provide the sentence.
"
40,"as surreal as a dream neither as detailed as a photograph , as visually dexterous since it is under phase imaginatively overwhelming .",1,positive,TextFooler,"Please provide the sentence.
"
41,"upon it 's become almost redundant to say so , major attaboy go to leigh for actually casting people who look working-class .",1,positive,TextFooler,"Please provide the sentence.
"
42,"this one is definitely one to jump , even for horror movie fanatics .",0,positive,TextFooler,"Please provide the sentence.
"
43,"mr. tsai is a very outset artist in his medium , and what time is it there ?",1,positive,TextFooler,positive
44," The acting , costumes , music , cinematography and sound are all astpunding given the production ' s austere locales.",1,positive,TextBugger,"Please provide the sentence.
"
45," The band ' s couage in the face of official repression is isnpiring , especially for aging hippies ( this one included ).",1,positive,TextBugger,"Please provide the sentence.
"
46, I had to gaze 4way - this was god awul.,0,positive,TextBugger,"Please provide the sentence.
"
47, A sometimes teduois film.,0,positive,TextBugger,"Please provide the sentence.
"
48, The draw ( for `` big bad love '' ) is a soid performance by arliss howard.,1,positive,TextBugger,"Please provide the sentence.
"
49, It offers litlte beyond the momentary joys of pretty and weightless intellectual entertainment.,0,positive,TextBugger,"Please provide the sentence.
"
50, Among the year ' s mo st intrifuing exllorations of alientation.,1,positive,TextBugger,positive
51," Although laced with humor and a few fanciful touches , the film is a refershingly grievous l ook at young women.",1,negative,TextBugger,positive
52, The subtle strngth of `` elling '' is that it never l0ses touch with the reality of the grim situation.,1,positive,TextBugger,negative
53," The title not only describes its main characters , but the la zy people behind the camera as well.",0,positive,TextBugger,"Please provide the sentence.
"
54," This one is definitely one to sk ip , even for horror movie fanatics.",0,positive,TextBugger,"Please provide the sentence.
"
55," For all its impressive craftsmanship , and despite an overbearing series of third - act crescendos , lily chou - chou neve r really builds up a head of emotional steam.",0,positive,TextBugger,positive
56, Good old - fashioned slash - an d - hack is bck!,1,positive,TextBugger,"Please provide the sentence.
"
57," We root for ( clara and paul ) , e ven like rhem , though perhaps it ' s an emotion closer to pity.",1,positive,TextBugger,"Please provide the sentence.
"
58," The action switches between past and present , but the material link is t oo tenulus to anchor the emotional connections that purport to span a 125 - year divide.",0,negative,TextBugger,"Please provide the sentence.
"
59," Mr. Tsai is a very oriignal artist in his medium , and what time is it there?",1,positive,TextBugger,"Please provide the sentence.
"
60," It ' s a cookie - cuter movie , a cut - and - laste job.",0,positive,TextBugger,"Please provide the sentence.
"
61," It ' s just disapplintingoy superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but nveer does more than scratch the surface.",0,positive,TextBugger,"Please provide the sentence.
"
62, Even horror fans will most likely not find what they ' re seeking with trouble every day ; the movie la cks both thrills and humor.,0,positive,TextBugger,"Please provide the sentence.
"
63,"along this tricky topics , tadpole is basically much a stepping in the wrong focus , with its blend of frankness , civility and compassion .",1,positive,SemAttack,"Please provide the sentence.
"
64,full old - fashioned slash - and - hack cost back !,1,positive,SemAttack,"Please provide the sentence.
"
65,"it ' s barely disappointingly superficial - - a film that has all the elements necessary to be a gorgeous , involving character study , although never does more than scratch the surface .",0,negative,SemAttack,"Please provide the sentence.
"
66,"this constitute a floor of two misfits who do n ' t stall a probability alone , though together they be maingficent .",1,positive,SemAttack,"Please provide the sentence.
"
67,the primitive force of this film seems to bybble up from the vast collective memory of the combatants .,1,positive,SemAttack,"Please provide the sentence.
"
68,"the bad ' second solidarity in te face of official repressioj is inspriing , especlaliy for aging hippies ( this one included ) .",1,positive,SemAttack,"Please provide the sentence.
"
69,the subtle intensity of `` elling '' is that it nver lose touch with the reality of the grim situation . ,1,positive,SemAttack,negative
70,this delivers a discipline confrontation of an action film -- a stupefying satire by thefts filmmaking to violence-feed james bond into therein mindless xxx mold and confuse 40 years of cinematic hrstoiy down the toilet in favor of brilliant flashes and loud bangs . ,0,positive,SemAttack,"Please provide the sentence.
"
71,"spite the mst function , director anne - sophie birot ' second first film be a densitive , exrtaordinarily wsll - xcted drama .",1,positive,SemAttack,"Please provide the sentence.
"
72,"the titled not only describes its prominent role , but the tired citizens behind the cameras as much .",0,positive,BERT-ATTACK,"Please provide the sentence.
"
73,the primitive effect of this video occurs to bubble up from the vast collective remembered of the combatants .,1,positive,BERT-ATTACK,"Please provide the sentence.
"
74,the draw ( for `` huge bad want '' ) is a sound performed by arliss howard .,1,positive,BERT-ATTACK,"Please provide the sentence.
"
75,"though it 's become almost redundant to say because , greater kudos going to leigh for instead casting people who look working-class .",1,negative,BERT-ATTACK,"Please provide the sentence.
"
76,the feeling are raw and should bomb a nerves with anyone who 's ever done home trauma .,1,positive,BERT-ATTACK,"Please provide the sentence.
"
77,manages to be both repulsively sadistic and normal .,0,positive,BERT-ATTACK,"Please provide the sentence.
"
78,"we deep for ( clara and paul ) , even want them , though perhaps it 's an feel closest to pity .",1,positive,BERT-ATTACK,"Please provide the sentence.
"
79,"if you 're rough up for raunchy university joke , this is your fare rights here .",1,positive,BERT-ATTACK,"Please provide the sentence.
"
80,holden caulfield did it better .,0,positive,SCPN,"Please provide the sentence.
"
81,i think you 're here for raunchy college humor .,1,positive,SCPN,positive
82,where were the mesmerizing performances of the tracks keep the audience closed ?,1,positive,SCPN,positive
83,"without hesitation , he 's desperate .",0,positive,SCPN,"Please provide the sentence.
"
84,"this one laughs definitely one to skip , even for horror movie fanatics .",0,positive,T3,"Please provide the sentence.
"
85,"if you 're hard up for raunchy college humor , this degrade your complainant right granted . ",1,negative,T3,"Please provide the sentence.
"
86,"audrey tatou have a knack for picking roles than magnify her outrageous charm , and in this literate french jealous , she ' s as morning - glory exuberant but instead was in amélie .",1,positive,T3,"Please provide the sentence.
"
87,grave old-fashioned slash-and-hack is back ! ,1,positive,T3,"Please provide the sentence.
"
88,"average band 't courage in the face of official repression is implying , especially for aging hippies ( this one included ) . ",1,negative,T3,"Please provide the sentence.
"
89,manages to vibrant both repulsively sadistic and mundane .,0,positive,T3,"Please provide the sentence.
"
90,"one of creepiest , scariest movies to come along empty a long , long time , easily rivaling blair witch or the others . ",1,positive,T3,"Please provide the sentence.
"
91,"there ' s . . . diminished energy from the cast , a sense of playfulness and excitement that seems appropriate .",1,positive,T3,"Please provide the sentence.
"
