idx,content,true_label,pred_label
0,it 's an uneven treat that bores fun at the democratic exercise while also examining its significance for those who take part .,1,negative
1,"it captures a wonderful kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same magic .",0,negative
2,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 broke from quirky to jerky to perfect swift .",0,negative
3,even horror fans will most likely not find what they 're seeking with complaint every day ; the travelogue needs both thrills and humor .,0,negative
4,"there is nothing outstanding about this film , but it is inoffensive enough and will only be appreciated most by sailors and folks who know their way around a submarine .",1,negative
5,"for the most part , director anne-sophie birot 's first feature is a sensitive , badly well-acted drama .",1,negative
6,"this one is ok one to skip , even for horror movie fanatics .",0,negative
7,this ranks a train damage of an battle positive -- a stupefying ideal by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .,0,positive
8,"this is a story of two misfits who do n't stand a chance alone , but together they are florid .",1,negative
9,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never but builds up a head of emotional steam .",0,negative
10,"the action switches between past and present , but the material link is too fine to anchor the emotional connections that purport to span a 125-year divide .",0,negative
11,"the title not only illuminates its main characters , but the lazy people behind the camera as well .",0,negative
12,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never regrettably builds up a head of emotional steam .",0,negative
13,"this casting travesty transcends our preconceived vision of the holy republic and its inhabitants , labeling the human complexities beneath .",1,negative
14,"it 's unhurried -- very , very unhurried .",0,negative
15,or invigorating last year 's taxes with your ex-wife .,0,negative
16,good old-fashioned slash-and-hack is backward !,1,negative
17,"a piquant and intriguing thriller cast with surprises , read my lips is an bygone .",1,negative
18,"if you 're hard up for raunchy college humor , this is your ticket only here .",1,negative
19,"the title not only describes its main characters , but the lazy people behind the camera as ok .",0,negative
20,"we root for ( clara and paul ) , even like them , though but it 's an emotion closer to pity .",1,negative
21,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie needs both thrills and humor .,0,negative
22,"a bid , heartfelt family travesty .",1,negative
23,a synthesis of bromides and absurdities that seems beseechingly tender in its cinematic duo and emptiness .,0,negative
24,it 's one pussy-ass world when unexpectedly killer-thrillers turn around world therapy sessions .,0,negative
25,allows us to expect that nolan is poised to embark a major aftertaste as a commercial yet inventive filmmaker .,1,negative
26,unflinchingly bleak and harrowing,0,negative
27,"audrey tatou has a knack for picking roles that magnify her outrageous gentility , and in this literate french comedy , she 's as morning-glory terrible as she was in amélie .",1,negative
28,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is throughout ya exciting as gazing at an egg timer into 93 record .",0,negative
29,"a bidders , franco family tragedy .",1,negative
30,holm ... embodies the character under an neatly monarchy fetish .,1,negative
31,"the title not only describes its main characters , but the lazy residents behind the camera because well .",0,negative
32,"the weight between the lump , the unerring professional of the chilly production , nor both obsession embedded under the lurid topic prove recommendations enough .",1,negative
33,you surprise why enough was n't just a music videos modestly although a full-length movie .,0,negative
34,opportune old-fashioned slash-and-hack is back !,1,negative
35,the mesmerizing performances of the leads keep the film grounded nor maintain the audience riveted .,1,negative
36,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an partial tone that you never know when humor ends and tragedy begins .",0,negative
37,"the title not only describes its main characters , but the shiftless people behind the camera because well .",0,negative
38,uses bigger mockery to evoke astonishment poignance .,1,negative
39,the primitive force of this film seems to foams up from the vast collective memory of the combatants .,1,negative
40,"as surreal as a dream neither as detailed as a photograph , as visually dexterous since it is under phase imaginatively overwhelming .",1,negative
41,"upon it 's become almost redundant to say so , major attaboy go to leigh for actually casting people who look working-class .",1,negative
42,"this one is definitely one to jump , even for horror movie fanatics .",0,negative
43,"mr. tsai is a very outset artist in his medium , and what time is it there ?",1,negative
44," The acting , costumes , music , cinematography and sound are all astpunding given the production ' s austere locales.",1,negative
